time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,0,0,0,0
2026-01-27 00:00:00+00:00,0,0,0,0
2026-01-28 00:00:00+00:00,0,0,0,0
2026-01-29 00:00:00+00:00,0,0,0,0
2026-01-30 00:00:00+00:00,0,0,0,0
2026-01-31 00:00:00+00:00,0,0,0,0
2026-02-01 00:00:00+00:00,0,0,0,0
2026-02-02 00:00:00+00:00,0,0,0,0
2026-02-03 00:00:00+00:00,0,0,0,0
2026-02-04 00:00:00+00:00,0,0,0,0
2026-02-05 00:00:00+00:00,0,0,0,0
2026-02-06 00:00:00+00:00,0,0,0,0
2026-02-07 00:00:00+00:00,0,0,0,0
2026-02-08 00:00:00+00:00,0,0,0,0
2026-02-09 00:00:00+00:00,127,47,41,2
2026-02-10 00:00:00+00:00,20,12,0,0
2026-02-11 00:00:00+00:00,20,9,0,0
2026-02-12 00:00:00+00:00,41,19,3,1
2026-02-13 00:00:00+00:00,45,17,2,1
2026-02-14 00:00:00+00:00,48,22,1,1
2026-02-15 00:00:00+00:00,31,13,0,0
2026-02-16 00:00:00+00:00,30,10,0,0
2026-02-17 00:00:00+00:00,16,7,0,0
2026-02-18 00:00:00+00:00,9,5,0,0
2026-02-19 00:00:00+00:00,10,5,0,0
2026-02-20 00:00:00+00:00,26,11,0,0
2026-02-21 00:00:00+00:00,29,16,0,0
2026-02-22 00:00:00+00:00,21,8,1,1
2026-02-23 00:00:00+00:00,21,12,0,0
2026-02-24 00:00:00+00:00,3,3,0,0
2026-02-25 00:00:00+00:00,16,6,0,0
2026-02-26 00:00:00+00:00,11,6,0,0
2026-02-27 00:00:00+00:00,30,13,0,0
2026-02-28 00:00:00+00:00,23,10,0,0
2026-03-01 00:00:00+00:00,16,7,0,0
2026-03-02 00:00:00+00:00,25,11,0,0
2026-03-03 00:00:00+00:00,23,10,0,0
2026-03-04 00:00:00+00:00,27,8,0,0
2026-03-05 00:00:00+00:00,3,3,0,0
2026-03-06 00:00:00+00:00,24,12,0,0
2026-03-07 00:00:00+00:00,10,5,0,0
2026-03-08 00:00:00+00:00,14,5,0,0
2026-03-09 00:00:00+00:00,16,7,0,0
2026-03-10 00:00:00+00:00,14,6,0,0
2026-03-11 00:00:00+00:00,17,4,0,0
2026-03-12 00:00:00+00:00,11,5,0,0
2026-03-13 00:00:00+00:00,25,13,0,0
2026-03-14 00:00:00+00:00,15,9,0,0
2026-03-15 00:00:00+00:00,18,8,0,0
2026-03-16 00:00:00+00:00,12,6,0,0
2026-03-17 00:00:00+00:00,8,4,2,1
2026-03-18 00:00:00+00:00,21,6,0,0
2026-03-19 00:00:00+00:00,14,5,0,0
2026-03-20 00:00:00+00:00,15,9,0,0
2026-03-21 00:00:00+00:00,10,5,0,0
2026-03-22 00:00:00+00:00,13,5,0,0
2026-03-23 00:00:00+00:00,11,6,0,0
2026-03-24 00:00:00+00:00,8,4,0,0
2026-03-25 00:00:00+00:00,13,4,0,0
